movieId	type
tt1904128	News
tt1904128	Talk-Show
tt7822144	Documentary
tt7822144	History
tt7822144	Mystery
tt6109826	Reality-TV
tt7284284	\N
tt8490570	\N
tt0261779	\N
tt1493316	Documentary
tt0940854	Documentary
tt0940854	Short
tt6415168	Reality-TV
tt2889736	Documentary
tt2889736	Drama
tt2889736	Short
tt4836336	Action
tt4836336	Adventure
tt4836336	Crime
tt0627366	Comedy
tt0627366	Music
tt0627366	Talk-Show
tt8266142	Action
tt8266142	Adventure
tt8266142	Family
tt0908877	Adventure
tt0908877	Animation
tt0908877	Comedy
tt8795614	Drama
tt8795614	Romance
tt7369026	Drama
tt3738444	Family
tt0976955	Comedy
tt0976955	Drama
tt0976955	Romance
tt0689831	Comedy
tt0689831	Talk-Show
tt2585364	Comedy
tt2585364	Family
tt2585364	Fantasy
tt6182718	Game-Show
tt7064520	Comedy
tt8719684	Adventure
tt8719684	Comedy
tt8719684	Drama
tt8014654	\N
tt1874408	Drama
tt1874408	Short
tt5045262	\N
tt0939132	Crime
tt0939132	Drama
tt0939132	Romance
tt1827340	Drama
tt0341825	Family
tt7158638	Comedy
tt7878998	Drama
tt7878998	Romance
tt1346297	Documentary
tt1811000	Music
tt5199594	Reality-TV
tt5263044	Animation
tt5263044	Sport
tt0905791	Adventure
tt0905791	Drama
tt0905791	Family
tt8084360	Short
tt3635534	Comedy
tt0482721	Drama
tt1456403	Music
tt1456403	Sport
tt1456403	Talk-Show
tt6527580	Documentary
tt2710886	Drama
tt0687692	Comedy
tt0257279	Comedy
tt0257279	Music
tt0257279	Romance
tt0316937	Short
tt7759192	Talk-Show
tt4435714	\N
tt8411058	Drama
tt8411058	Romance
tt6601100	Romance
tt3194780	Talk-Show
tt6897718	Comedy
tt5095956	Talk-Show
tt4417754	Adventure
tt8770702	Comedy
tt8770702	Drama
tt8770702	Romance
tt1139990	Animation
tt1139990	Comedy
tt1139990	Family
tt6940750	Drama
tt6940750	Family
tt6940750	Romance
tt2272719	News
tt3361026	\N
tt8570076	Family
tt8570076	Game-Show
tt8570076	Musical
tt6057360	Documentary
tt6057360	Short
tt4192148	Comedy
tt4192148	Drama
tt5206286	Adult
tt6161682	Animation
tt1053903	Drama
tt8602156	Drama
tt2315265	Talk-Show
tt3719064	Comedy
tt3719064	Drama
tt3719064	Romance
tt0802727	Music
tt0802727	Talk-Show
tt9113288	Drama
tt9113288	Romance
tt9113288	Thriller
tt7124944	Comedy
tt3583820	News
tt7211354	Family
tt1294100	Documentary
tt6163096	Comedy
tt0161337	Animation
tt0161337	Short
tt5723276	Thriller
tt8663772	Documentary
tt8663772	Short
tt0324436	Drama
tt1022697	Documentary
tt1007196	Drama
tt1007196	Romance
tt0945526	Drama
tt5717538	Comedy
tt5717538	Short
tt1067715	Drama
tt0123502	Adult
tt0877745	Comedy
tt0877745	Family
tt2387240	Drama
tt2387240	Short
tt0650338	Comedy
tt0650338	Drama
tt0650338	Family
tt1815839	Animation
tt1815839	Short
tt1792883	Family
tt6424108	Comedy
tt9102624	Drama
tt2346924	Comedy
tt2346924	Short
tt0485320	Animation
tt0485320	Fantasy
tt0485320	Short
tt4602452	Animation
tt4602452	Comedy
tt7564580	Comedy
tt7564580	Short
tt4876102	Adult
tt4876102	Adventure
tt4876102	Short
tt1294084	Comedy
tt1294084	Drama
tt1294084	Romance
tt6595746	Drama
tt8835492	Adult
tt7116348	Drama
tt7116348	Short
tt5205848	Documentary
tt0225402	\N
tt3552834	News
tt7809676	Short
tt0476348	Adult
tt1394393	\N
tt4182126	Drama
tt4182126	Mystery
tt4182126	Romance
tt5579486	Talk-Show
tt1295689	Talk-Show
tt2284645	Reality-TV
tt1091709	Biography
tt1091709	Drama
tt0583103	Drama
tt7803520	Adult
tt1049158	Adult
tt0189651	Drama
tt0189651	Short
tt0285880	Comedy
tt0285880	Short
tt7052996	Comedy
tt7052996	Drama
tt7052996	Family
tt5876302	Reality-TV
tt9015628	Documentary
tt9015628	News
tt9015628	Talk-Show
tt5643320	Documentary
tt2317169	Documentary
tt2317169	Short
tt3669160	Comedy
tt6315872	Adventure
tt6315872	Animation
tt6315872	Comedy
tt0742972	Action
tt0742972	Crime
tt0742972	Drama
tt3319158	Biography
tt3319158	Documentary
tt0407125	Documentary
tt2903548	Adventure
tt2903548	Comedy
tt2903548	Family
tt3837572	Comedy
tt1976343	Drama
tt1976343	Romance
tt7045598	Drama
tt1199053	Comedy
tt1479049	Reality-TV
tt1715039	Documentary
tt7328840	Comedy
tt7328840	Talk-Show
tt7632496	Animation
tt7632496	Family
tt4517666	Thriller
tt6924068	Drama
tt6924068	History
tt2092547	Animation
tt3107078	Adventure
tt3107078	Comedy
tt8070888	Comedy
tt8070888	Drama
tt8070888	Short
tt5968008	Romance
tt0094412	Comedy
tt0930878	Biography
tt8190152	Drama
tt1560935	Action
tt1560935	Adventure
tt1560935	Comedy
tt8824544	Documentary
tt8824544	Short
tt6521360	Drama
tt8719224	Adventure
tt8719224	Documentary
tt8719224	Family
tt1469314	\N
tt4074000	Comedy
tt4177098	Reality-TV
tt1448910	Game-Show
tt8504166	Drama
tt8504166	Romance
tt2377421	Game-Show
tt2886020	Music
tt0034850	Comedy
tt0034850	Horror
tt0034850	Mystery
tt0746384	Family
tt0746384	Game-Show
tt1714668	Animation
tt1714668	Short
tt1330008	\N
tt8222822	Comedy
tt8222822	Reality-TV
tt1784945	Game-Show
tt1784945	Reality-TV
tt6876594	Reality-TV
tt8193056	Action
tt8193056	Adventure
tt8193056	Fantasy
tt1273845	Adventure
tt1273845	Drama
tt1273845	Romance
tt6150442	Comedy
tt6150442	Game-Show
tt6150442	Reality-TV
tt1349974	Documentary
tt4288002	Animation
tt1625418	Drama
tt1625418	Family
tt0876555	\N
tt2954506	News
tt2954506	Talk-Show
tt7060526	News
tt2988122	Comedy
tt2988122	Short
tt8180498	Comedy
tt6680760	Action
tt6680760	Comedy
tt6680760	Short
tt1333751	Drama
tt1333751	Mystery
tt1333751	Thriller
tt6882354	Reality-TV
tt1328076	Reality-TV
tt7420208	Action
tt1686455	Sport
tt8954504	Drama
tt8954504	Short
tt8813074	Drama
tt8813074	Romance
tt4835372	Adult
tt4835372	Short
tt6290202	Documentary
tt3333824	Adventure
tt3333824	Animation
tt3333824	Comedy
tt7097592	Drama
tt6312442	Drama
tt6312442	Romance
tt6543268	Drama
tt6543268	Short
tt6543268	War
tt3965812	Horror
tt3916622	Drama
tt5770382	Drama
tt5770382	Short
tt4361872	History
tt0744163	Comedy
tt3435486	Drama
tt3435486	Thriller
tt0067759	\N
tt0088789	Drama
tt7532484	Game-Show
tt7654096	Talk-Show
tt4215478	Adventure
tt4215478	Game-Show
tt8750362	News
tt7363018	Drama
tt9215516	Adventure
tt9215516	Animation
tt9215516	Drama
tt0817954	Documentary
tt6831546	Sport
tt3422822	Reality-TV
tt1871413	Drama
tt1871413	Family
tt1871413	Romance
tt1033494	Action
tt1033494	Crime
tt1033494	Thriller
tt1049464	Drama
tt2408854	Talk-Show
tt1493430	Drama
tt5687280	Documentary
tt2878714	Talk-Show
tt2365564	Game-Show
tt4575030	Biography
tt4575030	Documentary
tt1368755	Reality-TV
tt1048902	Reality-TV
tt7026534	Horror
tt7026534	Thriller
tt6144792	Documentary
tt6144792	News
tt0870913	Documentary
tt1635327	Comedy
tt1635327	Talk-Show
tt5965728	Horror
tt5965728	Short
tt8775086	Comedy
tt8775086	Drama
tt0334471	Documentary
tt0334471	Short
tt2063167	Action
tt2063167	Adventure
tt2063167	Fantasy
tt4898470	News
tt4898470	Talk-Show
tt6885696	Horror
tt3103564	Documentary
tt0379953	Documentary
tt0379953	Short
tt1101823	Drama
tt1238531	Animation
tt0674949	Music
tt0674949	Talk-Show
tt4427710	Comedy
tt7869744	Action
tt7869744	Adventure
tt7869744	Animation
tt2363290	Documentary
tt2363290	Short
tt0825665	Comedy
tt0825665	Short
tt7071256	Sport
tt2109230	Drama
tt2109230	Romance
tt2109230	Short
tt0956687	Comedy
tt1594278	Drama
tt0154446	Drama
tt6832948	Horror
tt6832948	Short
tt1077106	Drama
tt4586314	Drama
tt4586314	Romance
tt8349378	\N
tt1428195	Drama
tt1428195	Romance
tt4672666	News
tt6310192	Documentary
tt3521660	Drama
tt3521660	Talk-Show
tt2106621	Family
tt0101967	Drama
tt4302890	Comedy
tt4302890	Short
tt0090964	Drama
tt0090964	Romance
tt0090964	War
tt0239390	Documentary
tt1400084	Drama
tt1615689	Drama
tt1615689	Romance
tt7332890	Drama
tt7097722	Drama
tt1839245	Adventure
tt1839245	Comedy
tt1839245	Musical
tt6321562	Sport
tt8147078	Drama
tt8147078	Short
tt7957802	Comedy
tt7957802	Drama
tt7957802	Family
tt1702066	News
tt5781038	Family
tt5085312	Game-Show
tt8998850	Action
tt8998850	Drama
tt0662478	Music
tt0294767	Adult
tt8926082	Comedy
tt7614034	Adult
tt1408951	Short
tt6179172	Talk-Show
tt1510016	Drama
tt1510016	Fantasy
tt1510016	Sci-Fi
tt7889614	Drama
tt7889614	Musical
tt7889614	Mystery
tt6913544	Music
tt6913544	Short
tt5813560	Comedy
tt5813560	Horror
tt5813560	Mystery
tt4603858	Comedy
tt2089530	Comedy
tt1314541	Documentary
tt2183740	Documentary
tt1304323	News
tt6700960	Comedy
tt0044161	Crime
tt0044161	Drama
tt3804902	Comedy
tt3804902	News
tt3804902	Talk-Show
tt9154528	Talk-Show
tt1614224	Comedy
tt8443320	Comedy
tt0443539	Drama
tt0443539	Short
tt1949587	Drama
tt1949587	Fantasy
tt1949587	Sci-Fi
tt3059996	Drama
tt3059996	Romance
tt0536391	Comedy
tt0203040	\N
tt0452657	Drama
tt2579906	Animation
tt2579906	Comedy
tt1350240	Drama
tt1908783	Family
tt1908783	Short
tt6492834	Comedy
tt6492834	Talk-Show
tt4516924	Talk-Show
tt2211666	Drama
tt0644788	Crime
tt0644788	Drama
tt1504630	News
tt1504630	Talk-Show
tt4328016	News
tt4328016	Talk-Show
tt7102862	Comedy
tt6248316	Sport
tt3925122	News
tt1763644	Documentary
tt4031360	\N
tt1052224	\N
tt1946802	Talk-Show
tt7676518	Drama
tt9010388	Horror
tt9010388	Short
tt2129936	Adult
tt1453840	Reality-TV
