tconst	averageRating	numVotes
tt0078014	5.0	28
tt0078035	6.8	130
tt0078077	6.2	1788
tt0078158	5.9	3816
tt0078264	6.5	310
tt0078312	6.0	223
tt0078379	5.6	64
tt0078380	7.2	20
tt0078445	7.3	217
tt0078477	6.1	1070
tt0078484	4.1	83
tt0078600	7.6	350
tt0078697	4.7	136
tt0078709	7.1	105
tt0078805	6.4	8
tt0078815	7.3	87
tt0078837	7.6	17
tt0078856	4.6	4163
tt0078873	5.0	293
tt0078988	6.6	8
tt0079021	7.0	63
tt0079121	6.0	281
tt0079208	7.2	14
tt0079276	5.3	26
tt0079409	6.5	23
tt0079414	5.8	6
tt0079551	7.4	26
tt0079626	3.7	174
tt0080207	7.5	17
tt0080225	7.5	23
tt0080411	6.5	39
tt0080422	5.9	22
tt0080529	6.9	89
tt0080595	6.9	94
tt0080863	6.1	1166
tt0080885	7.1	102
tt0081051	4.9	131
tt0081139	6.8	63
tt0081383	5.4	12309
tt0081554	7.4	18856
tt0081636	7.9	10
tt0081759	4.7	455
tt0081985	6.0	26
tt0082038	5.7	226
tt0082165	7.5	35
tt0082357	7.0	577
tt0082385	6.9	46
tt0082479	5.4	4461
tt0082556	6.2	10
tt0082710	6.8	58
tt0082723	6.7	12
tt0082749	7.1	603
tt0082798	5.3	15
tt0082827	3.7	22
tt0083167	5.5	8
tt0083233	5.3	88
tt0083268	5.6	653
tt0083273	6.2	20
tt0083569	6.1	11
tt0083613	6.8	288
tt0083710	3.6	375
tt0083817	5.7	23
tt0083824	5.8	1273
tt0084243	6.7	47
tt0084628	8.1	7989
tt0084791	6.5	200
tt0084975	7.3	46
tt0085099	7.3	499
tt0085171	4.8	24
tt0085282	5.7	209
tt0085326	7.8	221
tt0085367	6.5	129
tt0085377	7.1	14
tt0085457	7.0	6
tt0085506	4.0	7
tt0085530	5.2	84
tt0085962	7.5	42
tt0086165	6.2	278
tt0086185	3.9	91
tt0086570	7.8	26
tt0086689	6.7	345
tt0086960	7.3	143391
tt0086980	4.9	401
tt0087312	5.9	41
tt0087320	6.6	142
tt0087324	6.4	8
tt0087457	7.3	10
tt0087582	4.6	12
tt0087670	6.1	9
tt0087708	6.7	32
tt0087746	5.1	1087
tt0087958	6.5	124
tt0087979	6.2	436
tt0088122	5.4	55
tt0088192	5.3	54
tt0088199	4.7	364
tt0088431	6.4	31
tt0088536	6.6	219
tt0088602	6.7	11
tt0088946	5.2	9
tt0088959	1.8	384
tt0089069	8.2	1664
tt0089149	4.4	39
tt0089369	6.5	19
tt0089438	5.8	61
tt0089756	4.3	249
tt0089763	3.4	174
tt0089879	6.0	24
tt0089988	6.0	7
tt0090043	7.8	34
tt0090206	6.6	2983
tt0090261	8.6	73
tt0090480	6.7	31
tt0090622	7.2	6
tt0090646	5.7	103
tt0090685	6.6	24468
tt0090844	6.2	13
tt0090907	7.1	813
tt0091012	4.1	323
tt0091047	6.4	59
tt0091058	3.5	36
tt0091089	5.1	353
tt0091183	5.4	1236
tt0091227	5.0	47
tt0091344	3.8	4678
tt0091586	6.2	24
tt0091669	6.3	78
tt0091716	5.8	8
tt0091878	2.3	103
tt0092066	6.6	26
tt0092084	6.2	130
