tconst	ordering	nconst	category	job	characters
tt0017196	3	nm0287503	actress	\N	"[""La Comtesse Sabine Muffat""]"
tt0017196	6	nm0957652	writer	inspired by the novel by	\N
tt0017196	7	nm1266315	writer	intertitles	\N
tt0017196	8	nm0243209	composer	\N	\N
tt0017288	3	nm0257365	actor	\N	\N
tt0017354	10	nm0005738	cinematographer	\N	\N
tt0017354	2	nm0182537	actress	\N	"[""Esther Harper""]"
tt0017354	4	nm0232592	actor	\N	"[""Flask""]"
tt0017354	5	nm0916224	director	\N	\N
tt0017354	6	nm0578479	writer	"novel ""Moby-Dick; or, The Whale"""	\N
tt0017431	4	nm0547958	actress	\N	"[""Drina Fay""]"
tt0017431	5	nm0480676	director	\N	\N
tt0017431	6	nm0037784	writer	story	\N
tt0017431	7	nm0641407	writer	adaptation	\N
tt0017431	8	nm0923760	writer	story	\N
tt0017431	9	nm0448981	writer	scenario	\N
tt0017555	5	nm0282549	director	\N	\N
tt0017555	7	nm0111024	writer	story	\N
tt0017555	8	nm0606094	writer	adaptation	\N
tt0017566	2	nm0404645	actress	\N	"[""Patsy Thorne""]"
tt0017566	3	nm0907546	actor	\N	"[""Ben Reader""]"
tt0017566	4	nm0877746	actor	\N	"[""Scotty's Second""]"
tt0017566	5	nm0113693	director	\N	\N
tt0017566	6	nm0932328	writer	story	\N
tt0017821	1	nm0016143	actor	\N	\N
tt0017821	2	nm0056858	actor	\N	\N
tt0017821	4	nm0209069	actor	\N	\N
tt0017821	6	nm0647273	writer	story	\N
tt0017821	8	nm0297357	actor	\N	\N
tt0017821	9	nm0246445	actor	\N	\N
tt0018148	4	nm0781254	actress	\N	"[""Mrs. Smith""]"
tt0018148	5	nm0005738	director	\N	\N
tt0018148	8	nm0398268	writer	story	\N
tt0018148	9	nm0450406	cinematographer	\N	\N
tt0018253	1	nm0001932	actor	\N	"[""Patent Leather Kid""]"
tt0018253	2	nm0640603	actress	\N	"[""Curley Boyle, the Golden Dancer""]"
tt0018253	3	nm0203406	actor	\N	"[""Lieutenant Hugo Breen""]"
tt0018253	5	nm0763453	director	\N	\N
tt0018315	10	nm0580035	actor	\N	\N
tt0018315	1	nm0017203	actor	\N	\N
tt0018315	2	nm0019526	actress	\N	\N
tt0018315	8	nm0127579	actress	\N	\N
tt0018466	1	nm0002143	actor	\N	"[""Peter Whitby""]"
tt0018466	5	nm0114266	director	\N	\N
tt0018466	6	nm0922952	writer	from the Saturday Evening Post story by	\N
