tconst	averageRating	numVotes
tt0079954	7.9	14
tt0079967	4.3	85
tt0079979	7.2	178
tt0080091	7.1	22
tt0080173	6.1	78
tt0080354	5.9	9113
tt0080413	6.0	12
tt0080808	4.1	697
tt0081159	6.5	2811
tt0081219	6.6	12
tt0081362	7.9	25
tt0081413	6.8	5
tt0081643	8.3	26
tt0081787	6.4	115
tt0081870	8.5	88
tt0081929	7.5	376
tt0082174	6.4	303
tt0082191	5.9	54
tt0082210	7.3	769
tt0082429	7.2	653
tt0082502	4.1	551
tt0082662	7.2	6
tt0082727	7.2	2737
tt0082983	5.4	128
tt0082984	4.9	158
tt0082985	7.5	34
tt0083137	7.4	11
tt0083292	6.3	102
tt0083581	5.5	52
tt0083634	5.2	445
tt0083748	7.2	19
tt0083818	8.0	22
tt0084224	6.8	38
tt0084658	6.2	1156
tt0085068	7.0	6
tt0085101	8.0	7050
tt0085204	5.4	4157
tt0085407	7.2	52572
tt0085460	7.9	48
tt0085861	4.0	89
tt0085942	7.5	20
tt0085951	7.1	843
tt0086014	5.7	2483
tt0086023	6.0	22
tt0086027	5.5	22
tt0086102	7.4	1455
tt0086116	7.9	80
tt0086229	6.8	209
tt0086592	7.1	99
tt0086679	7.7	179
tt0086681	6.1	4516
tt0086833	6.5	157
tt0087156	6.9	56
tt0087259	8.0	26
tt0087331	7.0	34
tt0087395	8.1	15
tt0087471	4.3	6
tt0087504	5.4	18
tt0087531	4.5	13
tt0087553	7.9	46513
tt0087792	6.4	8
tt0088034	6.5	141
tt0088122	5.4	57
tt0088153	6.4	421
tt0088196	8.2	1372
tt0088256	5.8	1433
tt0088267	5.6	67
tt0088281	5.1	25
tt0088290	5.6	32
tt0088452	5.4	7
tt0088456	5.8	5
tt0088459	4.3	749
tt0089065	4.7	167
tt0089072	7.0	1554
tt0089084	7.3	531
tt0089183	6.8	17
tt0089271	4.1	915
tt0089303	4.2	5
tt0089330	6.7	26
tt0089345	7.1	226
tt0089410	6.6	176
tt0089417	7.6	21
tt0089814	4.3	84
tt0089936	7.6	7
tt0090133	5.6	23
tt0090208	7.0	38
tt0090253	6.7	67
tt0090366	7.5	5658
tt0090550	6.6	82
tt0090923	7.3	31
tt0090948	5.5	801
tt0091226	5.8	20
tt0091418	7.1	22
tt0091430	5.5	471
tt0091481	6.9	144
tt0091542	5.8	12
tt0091941	6.5	92
tt0092008	6.0	59
tt0092152	8.5	19
tt0092269	6.3	258
tt0092696	7.4	484
tt0092706	6.9	13
tt0092920	6.3	159
tt0093046	6.9	291
tt0093339	5.6	212
tt0093613	5.1	46
tt0093687	6.7	27
tt0094121	4.7	84
tt0094134	5.6	123
tt0094280	5.8	183
tt0094333	6.1	162
tt0094353	6.3	25
tt0094456	6.0	33
tt0094731	6.3	4857
tt0094769	3.9	109
tt0094821	4.2	39
tt0094848	5.0	33
tt0094958	6.6	455
tt0094961	6.0	5441
tt0095042	7.3	158
tt0095149	7.1	63
tt0095193	7.1	18
tt0095376	6.4	77
tt0095436	3.8	37
tt0095437	9.2	47
tt0095658	7.0	43
tt0095715	7.5	9919
tt0095898	4.3	15
tt0095910	7.0	90
tt0095961	6.4	48
tt0096072	4.7	201
tt0096156	6.1	341
tt0096342	5.8	478
tt0096348	5.7	97
tt0096357	8.3	40
tt0096609	7.7	27
tt0096759	5.7	21
tt0097015	7.3	1423
tt0097025	6.5	23
tt0097050	7.1	9607
tt0097318	3.6	54
tt0097341	4.6	237
tt0097404	4.5	330
tt0097438	6.2	6198
